idx,stop,node_idx,arrival
0,0,0,0
0,1,63,0
0,2,33,0
0,3,28,0
0,4,30,0
0,5,26,0
0,6,0,0
1,0,0,0
1,1,95,0
1,2,62,0
1,3,84,0
1,4,85,0
1,5,32,0
1,6,0,0
2,0,0,0
2,1,72,0
2,2,39,0
2,3,36,0
2,4,38,0
2,5,37,0
2,6,0,0
3,0,0,0
3,1,81,0
3,2,41,0
3,3,35,0
3,4,0,0
4,0,0,0
4,1,64,0
4,2,51,0
4,3,76,0
4,4,89,0
4,5,0,0
5,0,0,0
5,1,73,0
5,2,79,0
5,3,8,0
5,4,46,0
5,5,0,0
6,0,0,0
6,1,42,0
6,2,44,0
6,3,43,0
6,4,0,0
7,0,0,0
7,1,94,0
7,2,34,0
7,3,91,0
7,4,80,0
7,5,0,0
8,0,0,0
8,1,61,0
8,2,40,0
8,3,0,0
9,0,0,0
9,1,11,0
9,2,16,0
9,3,9,0
9,4,87,0
9,5,97,0
9,6,0,0
10,0,0,0
10,1,90,0
10,2,57,0
10,3,77,0
10,4,0,0
11,0,0,0
11,1,82,0
11,2,52,0
11,3,99,0
11,4,86,0
11,5,74,0
11,6,58,0
11,7,0,0
12,0,0,0
12,1,88,0
12,2,6,0
12,3,7,0
12,4,4,0
12,5,0,0
13,0,0,0
13,1,45,0
13,2,1,0
13,3,0,0
14,0,0,0
14,1,69,0
14,2,98,0
14,3,53,0
14,4,78,0
14,5,17,0
14,6,0,0
15,0,0,0
15,1,23,0
15,2,19,0
15,3,21,0
15,4,18,0
15,5,0,0
16,0,0,0
16,1,71,0
16,2,67,0
16,3,50,0
16,4,96,0
16,5,54,0
16,6,93,0
16,7,0,0
17,0,0,0
17,1,83,0
17,2,22,0
17,3,49,0
17,4,20,0
17,5,48,0
17,6,0,0
18,0,0,0
18,1,14,0
18,2,47,0
18,3,12,0
18,4,15,0
18,5,10,0
18,6,13,0
18,7,0,0
19,0,0,0
19,1,56,0
19,2,24,0
19,3,25,0
19,4,0,0
20,0,0,0
20,1,92,0
20,2,31,0
20,3,29,0
20,4,27,0
20,5,0,0
21,0,0,0
21,1,65,0
21,2,59,0
21,3,75,0
21,4,66,0
21,5,60,0
21,6,0,0
22,0,0,0
22,1,2,0
22,2,5,0
22,3,3,0
22,4,68,0
22,5,55,0
22,6,70,0
22,7,100,0
22,8,0,0
